,title,description,url,urlToImage,publishedAt,author,sumber,hasil_sentimen,probability
0,"Apple Jaga iPhone, Kabar Kurang Sedap dari Ponsel Lipat Google","Apple tetap menjaga target produksi iPhone sebanyak 220 juta unit hingga akhir 2022, sementara ponsel lipat Google tidak akan rilis hingga 2023.",https://www.viva.co.id/digital/piranti/1479201-apple-jaga-iphone-kabar-kurang-sedap-dari-ponsel-lipat-google,https://thumb.viva.co.id/media/frontend/thumbs3/2012/10/29/177367_google-apple_665_374.jpg,27 May 2022,Lazuardhi Utama,Viva.co.id,Positif,60.0
1,"Terkuak, Ini 7 Misteri Kematian Steve Jobs Sang Penemu Apple","Misteri kematian Steve Jobs, Pada tanggal 5 Oktober 2011, Steve Jobs meninggal setelah berjuang melawan kanker pankreas yang langka pada usia 56 tahun.",https://www.viva.co.id/digital/digilife/1479673-terkuak-ini-7-misteri-kematian-steve-jobs-sang-penemu-apple,https://thumb.viva.co.id/media/frontend/thumbs3/2018/08/04/5b65c5d14e265-terungkap-steve-job-suka-menghina-dan-pelit-ke-putrinya-sendiri_665_374.jpg,30 May 2022,Deddy Setiawan,Viva.co.id,Negatif,53.0
2,Apple Adopsi Fitur di Android untuk iPhone 14,"Sejumlah perangkat Android sudah mendukung mode layar always-on. Salah satunya Samsung. Kini, fitur tersebut akan hadir di seri iPhone 14.",https://www.viva.co.id/digital/piranti/1479783-apple-adopsi-fitur-di-android-untuk-iphone-14,https://thumb.viva.co.id/media/frontend/thumbs3/2021/03/03/603eedc94df02-apple-iphone_665_374.jpg,30 May 2022,Lazuardhi Utama,Viva.co.id,Netral,59.0
3,Daftar Smartwatch yang Laku di Pasaran,Berita Daftar Smartwatch yang Laku di Pasaran terbaru hari ini 2022-06-01 17:50:01 dari sumber yang terpercaya,https://www.viva.co.id/digital/piranti/1480548-daftar-smartwatch-yang-laku-di-pasaran,https://thumb.viva.co.id/media/frontend/thumbs3/2020/02/23/5e51ac968ec95-smartwatch-honor_665_374.jpg,01 June 2022,Yunisa Herawati,Viva.co.id,Netral,64.0
4,5 Rekomendasi iPhone yang Masih Layak Beli di Tahun 2022,"Anda bisa menggunakan metode pembayaran cicilan barang online dari Kredivo untuk membeli iPhone bekas, yang masih layak dibeli pada tahun 2022.",https://www.viva.co.id/gaya-hidup/gaya/1479324-5-rekomendasi-iphone-yang-masih-layak-beli-di-tahun-2022,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/28/629177bd1bd98-ilustrasi-iphone_665_374.jpg,28 May 2022,Dera Fitri,Viva.co.id,Netral,47.0
5,Segini Harga Mobil Toyota Starlet Versi Baru,Baru-baru ini Toyota mengumumkan produk baru untuk kebutuhan pasar konsumennya. Mobil tersebut diberi nama All New Toyota Starlet.,https://www.viva.co.id/otomotif/mobil/1479188-segini-harga-mobil-toyota-starlet-versi-baru,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/27/6290b272a61e6-ilustrasi-gambar-mobil-all-new-toyota-starlet_665_374.jpg,27 May 2022,Muhammad Thoifur,Viva.co.id,Positif,59.0
6,Perusahaan AI Jerman Merapat ke Indonesia,"Perusahaan teknologi berbasis kecerdasan buatan (AI) yang bergerak di terjemahan instan asal Jerman, DeepL, kini merangkul Indonesia.",https://www.viva.co.id/digital/startup/1481135-perusahaan-ai-jerman-merapat-ke-indonesia,https://thumb.viva.co.id/media/frontend/thumbs3/2022/06/03/6299825d74e25-deepl-translator_665_374.jpg,03 June 2022,Lazuardhi Utama,Viva.co.id,Netral,49.0
7,Deret Potret Keseruan Eddie Redmayne di Sudut New York-Tokyo,"&nbsp;Eddie Redmayne, aktor ternama asal Inggris, punya cara tersendiri untuk menghilangkan kejenuhan di tengah jadwalnya yang padat.",https://www.viva.co.id/gaya-hidup/inspirasi-unik/1480301-deret-potret-keseruan-eddie-redmayne-di-sudut-new-york-tokyo,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/31/6295e92655339-eddie-redmayne-aktor-asal-inggris_665_374.jpg,31 May 2022,Rochimawati,Viva.co.id,Netral,64.0
8,TV & Aksesori Paling Awet dapatkan hanya di Bhinneka Diskon 1 Jutaan,"TV & Aksesori Paling Awet dapatkan hanya di Bhinneka Diskon 1 Jutaan. Berlaku hingga 30 Juni 2022. UNTUK PENAWARAN SELENGKAPNYA, KLIK DISINI Beragam keperluan IT dan telekomunikasi, perangkat elektronik, sampai… 
The post TV & Aksesori Paling Awet dapatkan ha…",https://katalogpromosi.com/tv-aksesori-paling-awet-dapatkan-hanya-di-bhinneka-diskon-1-jutaan/,https://katalogpromosi.com/wp-content/uploads/2022/03/TV-Bhinneka.jpg,03 June 2022,katalogpromosi_editor,Katalogpromosi.com,Netral,73.0
9,"Peringatan, Perusahaan Startup Hadapi Hari-hari yang Gelap","Masa bulan madu perusahaan startup tampaknya sudah berakhir. Banyak yang mulai mengencangkan ikat pinggang, tidak lagi mengumbar diskon, bahkan sampai PHK.",https://inet.detik.com/business/d-6100468/peringatan-perusahaan-startup-hadapi-hari-hari-yang-gelap,https://awsimages.detik.net.id/api/wm/2018/12/24/2ba0fffa-90a0-41d7-8fb9-675d8e8f59e4_169.jpeg?wid=54&w=650&v=1&t=jpeg,29 May 2022,Fino Yurio Kristo,Detik.com,Netral,54.0
10,Kami Ngobrol Bareng Musisi Pemula yang Nebeng Twit Viral Buat Promosi Soundcloud,"Di zaman masuk playlist Spotify adalah pencapaian keren, sejumlah musisi muda mencoba cara lain mempromosikan karya mereka. Caranya adalah nebeng twit yang sedang viral.",https://www.vice.com/id/article/bjan5d/kami-ngobrol-bareng-musisi-pemula-yang-nebeng-twit-viral-buat-promosi-soundcloud,https://video-images.vice.com/articles/5ba133f90bf88f0006b91504/lede/1537785136050-soundcloud_twitter_noisey.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,28 May 2022,Alex Ekong,Vice News,Netral,75.0
